booking_id;hotel;is_canceled;lead_time;arrival_date_week_number;booking_date;arrival_date;arrival_date_day_of_month;stays_in_weekend_nights;stays_in_week_nights;adults;children;babies;meal;country;market_segment;is_repeated_guest;previous_cancellations;assigned_room_type;booking_changes;deposit_type;agent;customer_type;required_car_parking_spaces;total_of_special_requests;prize_per_nigth
1;NF Hotel;0;348;7;08-03-2021;19-02-2022;19;2;0;2;0;1;BB;China;Offline TA/TO;0;0;A;0;No Deposit;0;No Contract (Single);0;0;19.0
2;NF Hotel;0;196;1;25-06-2021;07-01-2022;7;0;1;1;0;0;BB;China;Offline TA/TO;0;0;B;0;Non Refund;0;No Contract (Single);0;1;27.31
3;NF Hotel;0;197;4;15-07-2021;28-01-2022;28;0;1;2;0;0;HB;Vietnam;Direct;0;0;B;1;No Deposit;240;No Contract (Single);0;0;25.0
4;NF Hotel;0;204;5;15-07-2021;04-02-2022;4;1;1;2;0;0;BB;France;Online TA;0;0;A;0;No Deposit;14;Contract (Single);0;0;20.0
5;NF Hotel;0;193;4;20-07-2021;29-01-2022;29;2;4;3;0;0;BB;Other;Offline TA/TO;0;0;B;0;No Deposit;14;Contract (Single);1;1;27.31
6;NF Hotel;0;175;2;24-07-2021;15-01-2022;15;2;1;2;0;0;HB;Other;Online TA;0;0;A;0;No Deposit;40;No Contract (Single);0;0;23.0
7;NF Hotel;1;201;6;25-07-2021;11-02-2022;11;1;1;1;0;0;BB;China;Direct;0;0;A;0;No Deposit;40;No Contract (Single);0;0;20.0
8;NF Hotel;0;204;8;05-08-2021;25-02-2022;25;2;2;1;0;0;BB;Cambodia;Online TA;0;0;A;0;No Deposit;0;No Contract (Single);0;2;20.0
9;NF Hotel;1;168;4;13-08-2021;28-01-2022;28;0;1;2;0;0;HB;Japan;Corporate;0;0;B;0;No Deposit;9;No Contract (Single);0;0;22.5
10;NF Hotel;0;150;5;07-09-2021;04-02-2022;4;2;3;2;0;1;BB;Vietnam;Direct;0;0;A;0;No Deposit;14;No Contract (Group);0;2;20.0
11;NF Hotel;1;146;6;19-09-2021;12-02-2022;12;2;4;2;0;0;BB;Malaysia;Online TA;1;0;A;0;No Deposit;9;No Contract (Single);0;0;20.0
12;NF Hotel;0;99;52;24-09-2021;01-01-2022;1;2;0;1;0;0;BB;Vietnam;Groups;0;1;A;0;No Deposit;14;Group Contract;0;0;20.7
13;NF Hotel;0;147;7;24-09-2021;18-02-2022;18;1;1;2;2;0;BB;South Korea;Direct;0;0;B;0;No Deposit;240;No Contract (Single);0;2;25.0
14;NF Hotel;1;118;3;25-09-2021;21-01-2022;21;1;1;1;0;0;BB;United States;Offline TA/TO;0;0;B;0;No Deposit;240;No Contract (Single);0;1;23.75
15;NF Hotel;0;154;8;25-09-2021;26-02-2022;26;2;0;2;0;0;BB;Cambodia;Offline TA/TO;0;0;A;0;No Deposit;9;Contract (Single);0;3;19.0
